199,LicensePlate,2024-11-08 09:58:34,2024-11-08 09:58:47,"{""box"":{""left"":2471,""right"":6912,""top"":2754,""bottom"":7284},""time"":1731027514876},{""box"":{""left"":2471,""right"":6912,""top"":2754,""bottom"":7284},""time"":1731027518006},{""box"":{""left"":2471,""right"":6912,""top"":2754,""bottom"":7284},""time"":1731027520003},{""box"":{""left"":2471,""right"":6912,""top"":2754,""bottom"":7284},""time"":1731027521041},{""box"":{""left"":2471,""right"":6912,""top"":2754,""bottom"":7284},""time"":1731027523046},{""box"":{""left"":2471,""right"":6912,""top"":2754,""bottom"":7284},""time"":1731027524054},{""box"":{""left"":2471,""right"":6912,""top"":2754,""bottom"":7284},""time"":1731027526018}",,,島根,530,な
200,Face,2024-11-08 10:01:15,2024-11-08 10:01:16,"{""box"":{""left"":2788,""right"":4659,""top"":3257,""bottom"":5262},""time"":1731027675351}","45,54",male,,,
201,Face,2024-11-08 10:01:30,2024-11-08 10:01:31,"{""box"":{""left"":1890,""right"":3121,""top"":2719,""bottom"":4488},""time"":1731027690253}","55,64",male,,,
202,Face,2024-11-08 10:01:35,2024-11-08 10:01:37,"{""box"":{""left"":1828,""right"":4648,""top"":2218,""bottom"":5148},""time"":1731027695026}","55,64",male,,,
204,LicensePlate,2024-11-08 10:01:35,2024-11-08 10:01:36,"{""box"":{""left"":2644,""right"":6546,""top"":2894,""bottom"":6845},""time"":1731027695230}",,,福井,300,も
205,LicensePlate,2024-11-08 10:01:40,2024-11-08 10:01:44,"{""box"":{""left"":6740,""right"":7003,""top"":7258,""bottom"":8333},""time"":1731027700805},{""box"":{""left"":6740,""right"":7003,""top"":7258,""bottom"":8333},""time"":1731027704014}",,,福井,300,も
206,Face,2024-11-08 10:01:43,2024-11-08 10:01:43,"{""box"":{""left"":1870,""right"":4804,""top"":2236,""bottom"":5304},""time"":1731027703014}","55,64",male,,,
209,LicensePlate,2024-11-08 10:02:50,2024-11-08 10:02:56,"{""box"":{""left"":2516,""right"":6831,""top"":2804,""bottom"":7171},""time"":1731027770604},{""box"":{""left"":2516,""right"":6831,""top"":2804,""bottom"":7171},""time"":1731027772008},{""box"":{""left"":2516,""right"":6831,""top"":2804,""bottom"":7171},""time"":1731027773017},{""box"":{""left"":2516,""right"":6831,""top"":2804,""bottom"":7171},""time"":1731027775021}",,,三河,302,て
211,LicensePlate,2024-11-08 10:02:58,2024-11-08 10:03:04,"{""box"":{""left"":6038,""right"":7856,""top"":6624,""bottom"":9098},""time"":1731027778130},{""box"":{""left"":6038,""right"":7856,""top"":6624,""bottom"":9098},""time"":1731027784013}",,,三河,302,て
212,LicensePlate,2024-11-08 10:03:06,2024-11-08 10:03:10,"{""box"":{""left"":2459,""right"":6549,""top"":2700,""bottom"":6913},""time"":1731027786521},{""box"":{""left"":2459,""right"":6549,""top"":2700,""bottom"":6913},""time"":1731027788027},{""box"":{""left"":2459,""right"":6549,""top"":2700,""bottom"":6913},""time"":1731027790000}",,,福井,341,ち
213,LicensePlate,2024-11-08 10:03:14,2024-11-08 10:03:16,"{""box"":{""left"":6147,""right"":7217,""top"":6712,""bottom"":8490},""time"":1731027794247},{""box"":{""left"":6147,""right"":7217,""top"":6712,""bottom"":8490},""time"":1731027796078}",,,福井,341,ち
214,Face,2024-11-08 10:03:18,2024-11-08 10:03:18,"{""box"":{""left"":1377,""right"":4628,""top"":1791,""bottom"":5231},""time"":1731027798424}","55,64",male,,,
