115,LicensePlate,2024-11-25 09:18:23,2024-11-25 09:18:40,"{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493903875},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493905042},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493906011},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493907008},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493908046},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493909053},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493910021},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493911019},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493912028},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493913027},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493914025},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493915033},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493916000},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493917008},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493918007},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493919005},{""box"":{""left"":2318,""right"":6618,""top"":2590,""bottom"":6882},""time"":1732493920003}",,,京都,832,わ
117,LicensePlate,2024-11-25 09:18:43,2024-11-25 09:18:48,"{""box"":{""left"":2222,""right"":6650,""top"":2484,""bottom"":6994},""time"":1732493923925},{""box"":{""left"":2222,""right"":6650,""top"":2484,""bottom"":6994},""time"":1732493925031},{""box"":{""left"":2222,""right"":6650,""top"":2484,""bottom"":6994},""time"":1732493926028},{""box"":{""left"":2222,""right"":6650,""top"":2484,""bottom"":6994},""time"":1732493927027},{""box"":{""left"":2222,""right"":6650,""top"":2484,""bottom"":6994},""time"":1732493928002}",,,大阪,321,ぬ
118,LicensePlate,2024-11-25 09:18:51,2024-11-25 09:18:55,"{""box"":{""left"":5996,""right"":7868,""top"":6636,""bottom"":9285},""time"":1732493931344},{""box"":{""left"":5996,""right"":7868,""top"":6636,""bottom"":9285},""time"":1732493935065}",,,大阪,321,ぬ
119,Face,2024-11-25 09:18:56,2024-11-25 09:18:56,"{""box"":{""left"":5252,""right"":3500,""top"":6031,""bottom"":4706},""time"":1732493936096}","25,34",male,,,
120,LicensePlate,2024-11-25 09:21:36,2024-11-25 09:21:42,"{""box"":{""left"":2413,""right"":6645,""top"":2665,""bottom"":7000},""time"":1732494096883},{""box"":{""left"":2413,""right"":6645,""top"":2665,""bottom"":7000},""time"":1732494098020},{""box"":{""left"":2413,""right"":6645,""top"":2665,""bottom"":7000},""time"":1732494099026},{""box"":{""left"":2413,""right"":6645,""top"":2665,""bottom"":7000},""time"":1732494100025},{""box"":{""left"":2413,""right"":6645,""top"":2665,""bottom"":7000},""time"":1732494101030},{""box"":{""left"":2413,""right"":6645,""top"":2665,""bottom"":7000},""time"":1732494102026}",,,奈良,333,や
121,LicensePlate,2024-11-25 09:21:42,2024-11-25 09:21:43,"{""box"":{""left"":6813,""right"":7136,""top"":7275,""bottom"":8491},""time"":1732494102897},{""box"":{""left"":6813,""right"":7136,""top"":7275,""bottom"":8491},""time"":1732494103030}",,,奈良,333,や
125,LicensePlate,2024-11-25 09:21:47,2024-11-25 09:22:07,"{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494107112},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494108048},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494109045},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494110052},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494111019},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494112016},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494113026},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494114024},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494115000},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494116038},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494118139},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494119011},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494120049},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494121048},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494122055},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494123023},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494124020},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494125028},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494126026},{""box"":{""left"":7138,""right"":7135,""top"":7541,""bottom"":8476},""time"":1732494127003}",,,奈良,333,や
126,LicensePlate,2024-11-25 09:22:10,2024-11-25 09:22:15,"{""box"":{""left"":2200,""right"":6740,""top"":2431,""bottom"":6994},""time"":1732494130643},{""box"":{""left"":2200,""right"":6740,""top"":2431,""bottom"":6994},""time"":1732494131038},{""box"":{""left"":2200,""right"":6740,""top"":2431,""bottom"":6994},""time"":1732494132015},{""box"":{""left"":2200,""right"":6740,""top"":2431,""bottom"":6994},""time"":1732494133010},{""box"":{""left"":2200,""right"":6740,""top"":2431,""bottom"":6994},""time"":1732494134049},{""box"":{""left"":2200,""right"":6740,""top"":2431,""bottom"":6994},""time"":1732494135057}",,,姫路,501,め
127,LicensePlate,2024-11-25 09:22:18,2024-11-25 09:22:20,"{""box"":{""left"":5329,""right"":8113,""top"":5972,""bottom"":9261},""time"":1732494138595},{""box"":{""left"":5329,""right"":8113,""top"":5972,""bottom"":9261},""time"":1732494140029}",,,姫路,501,め
129,LicensePlate,2024-11-25 09:22:21,2024-11-25 09:22:25,"{""box"":{""left"":2422,""right"":6764,""top"":2667,""bottom"":7072},""time"":1732494141464},{""box"":{""left"":2422,""right"":6764,""top"":2667,""bottom"":7072},""time"":1732494143007},{""box"":{""left"":2422,""right"":6764,""top"":2667,""bottom"":7072},""time"":1732494144004},{""box"":{""left"":2422,""right"":6764,""top"":2667,""bottom"":7072},""time"":1732494145002}",,,姫路,340,ほ
130,LicensePlate,2024-11-25 09:22:26,2024-11-25 09:22:33,"{""box"":{""left"":5983,""right"":8123,""top"":6674,""bottom"":9379},""time"":1732494146747},{""box"":{""left"":5983,""right"":8123,""top"":6674,""bottom"":9379},""time"":1732494148043},{""box"":{""left"":5983,""right"":8123,""top"":6674,""bottom"":9379},""time"":1732494149052},{""box"":{""left"":5983,""right"":8123,""top"":6674,""bottom"":9379},""time"":1732494150051},{""box"":{""left"":5983,""right"":8123,""top"":6674,""bottom"":9379},""time"":1732494151018},{""box"":{""left"":5983,""right"":8123,""top"":6674,""bottom"":9379},""time"":1732494152026},{""box"":{""left"":5983,""right"":8123,""top"":6674,""bottom"":9379},""time"":1732494153023}",,,6,1,6
