placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-09-05 00:00:00,2026-09-05 01:00:00,0
fukui-station-east-entrance,Person,2026-09-05 01:00:00,2026-09-05 02:00:00,0
fukui-station-east-entrance,Person,2026-09-05 02:00:00,2026-09-05 03:00:00,0
fukui-station-east-entrance,Person,2026-09-05 03:00:00,2026-09-05 04:00:00,0
fukui-station-east-entrance,Person,2026-09-05 04:00:00,2026-09-05 05:00:00,0
fukui-station-east-entrance,Person,2026-09-05 05:00:00,2026-09-05 06:00:00,8
fukui-station-east-entrance,Person,2026-09-05 06:00:00,2026-09-05 07:00:00,112
fukui-station-east-entrance,Person,2026-09-05 07:00:00,2026-09-05 08:00:00,257
fukui-station-east-entrance,Person,2026-09-05 08:00:00,2026-09-05 09:00:00,568
fukui-station-east-entrance,Person,2026-09-05 09:00:00,2026-09-05 10:00:00,990
fukui-station-east-entrance,Person,2026-09-05 10:00:00,2026-09-05 11:00:00,1053
fukui-station-east-entrance,Person,2026-09-05 11:00:00,2026-09-05 12:00:00,891
fukui-station-east-entrance,Person,2026-09-05 12:00:00,2026-09-05 13:00:00,818
fukui-station-east-entrance,Person,2026-09-05 13:00:00,2026-09-05 14:00:00,1084
fukui-station-east-entrance,Person,2026-09-05 14:00:00,2026-09-05 15:00:00,1240
fukui-station-east-entrance,Person,2026-09-05 15:00:00,2026-09-05 16:00:00,1458
fukui-station-east-entrance,Person,2026-09-05 16:00:00,2026-09-05 17:00:00,1438
fukui-station-east-entrance,Person,2026-09-05 17:00:00,2026-09-05 18:00:00,1178
fukui-station-east-entrance,Person,2026-09-05 18:00:00,2026-09-05 19:00:00,716
fukui-station-east-entrance,Person,2026-09-05 19:00:00,2026-09-05 20:00:00,335
fukui-station-east-entrance,Person,2026-09-05 20:00:00,2026-09-05 21:00:00,370
fukui-station-east-entrance,Person,2026-09-05 21:00:00,2026-09-05 22:00:00,228
fukui-station-east-entrance,Person,2026-09-05 22:00:00,2026-09-05 23:00:00,142
fukui-station-east-entrance,Person,2026-09-05 23:00:00,2026-09-06 00:00:00,0
