529,LicensePlate,2024-12-07 15:24:09,2024-12-07 15:24:10,"{""box"":{""left"":5784,""right"":7938,""top"":6392,""bottom"":9222},""time"":1733552649279},{""box"":{""left"":5784,""right"":7938,""top"":6392,""bottom"":9222},""time"":1733552650000}",,,名古屋,332,ま
531,LicensePlate,2024-12-07 15:24:14,2024-12-07 15:24:19,"{""box"":{""left"":2474,""right"":6592,""top"":2780,""bottom"":6912},""time"":1733552654090},{""box"":{""left"":2474,""right"":6592,""top"":2780,""bottom"":6912},""time"":1733552655066},{""box"":{""left"":2474,""right"":6592,""top"":2780,""bottom"":6912},""time"":1733552656023},{""box"":{""left"":2474,""right"":6592,""top"":2780,""bottom"":6912},""time"":1733552657032},{""box"":{""left"":2474,""right"":6592,""top"":2780,""bottom"":6912},""time"":1733552658028},{""box"":{""left"":2474,""right"":6592,""top"":2780,""bottom"":6912},""time"":1733552659035}",,,福井,370,め
532,LicensePlate,2024-12-07 15:24:25,2024-12-07 15:24:27,"{""box"":{""left"":6233,""right"":7370,""top"":6766,""bottom"":8741},""time"":1733552665081},{""box"":{""left"":6233,""right"":7370,""top"":6766,""bottom"":8741},""time"":1733552667057}",,,福井,370,め
535,LicensePlate,2024-12-07 15:24:36,2024-12-07 15:24:49,"{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552676013},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552677012},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552678010},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552679016},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552680044},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552681051},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552682058},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552683024},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552684021},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552685028},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552686025},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552687032},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552688000},{""box"":{""left"":2402,""right"":6716,""top"":2650,""bottom"":7050},""time"":1733552689006}",,,福井,500,わ
538,LicensePlate,2024-12-07 15:26:13,2024-12-07 15:26:17,"{""box"":{""left"":2631,""right"":6728,""top"":2909,""bottom"":7128},""time"":1733552773226},{""box"":{""left"":2631,""right"":6728,""top"":2909,""bottom"":7128},""time"":1733552775036},{""box"":{""left"":2631,""right"":6728,""top"":2909,""bottom"":7128},""time"":1733552776005},{""box"":{""left"":2631,""right"":6728,""top"":2909,""bottom"":7128},""time"":1733552777001}",,,なにわ,344,り
539,LicensePlate,2024-12-07 15:26:17,2024-12-07 15:26:25,"{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552777779},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552778012},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552779010},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552780008},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552781016},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552782053},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552783059},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552784017},{""box"":{""left"":5820,""right"":8296,""top"":6505,""bottom"":9606},""time"":1733552785025}",,,なにわ,344,り
541,LicensePlate,2024-12-07 15:26:27,2024-12-07 15:26:36,"{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552787802},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552789032},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552790008},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552791006},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552792013},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552793011},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552794019},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552795017},{""box"":{""left"":2457,""right"":6758,""top"":2748,""bottom"":7122},""time"":1733552796054}",,,和泉,581,む
543,LicensePlate,2024-12-07 15:26:46,2024-12-07 15:26:56,"{""box"":{""left"":2654,""right"":6686,""top"":2959,""bottom"":7061},""time"":1733552806680},{""box"":{""left"":2654,""right"":6686,""top"":2959,""bottom"":7061},""time"":1733552812022},{""box"":{""left"":2654,""right"":6686,""top"":2959,""bottom"":7061},""time"":1733552813020},{""box"":{""left"":2654,""right"":6686,""top"":2959,""bottom"":7061},""time"":1733552814028},{""box"":{""left"":2654,""right"":6686,""top"":2959,""bottom"":7061},""time"":1733552815025},{""box"":{""left"":2654,""right"":6686,""top"":2959,""bottom"":7061},""time"":1733552816033}",,,金沢,500,わ
544,LicensePlate,2024-12-07 15:27:00,2024-12-07 15:27:02,"{""box"":{""left"":5572,""right"":7943,""top"":6258,""bottom"":9212},""time"":1733552820010},{""box"":{""left"":5572,""right"":7943,""top"":6258,""bottom"":9212},""time"":1733552822014}",,,金沢,500,わ
545,Face,2024-12-07 15:27:03,2024-12-07 15:27:03,"{""box"":{""left"":4836,""right"":5022,""top"":5523,""bottom"":6086},""time"":1733552823221}","6,12",male,,,
547,LicensePlate,2024-12-07 15:28:03,2024-12-07 15:28:16,"{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552883052},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552884087},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552885024},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552886022},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552887029},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552888037},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552889002},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552890009},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552891008},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552892016},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552893013},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552894012},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552895017},{""box"":{""left"":2314,""right"":6749,""top"":2568,""bottom"":7081},""time"":1733552896054}",,,福井,500,わ
