404,LicensePlate,2024-11-06 11:08:30,2024-11-06 11:08:42,"{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858910605},{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858912004},{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858914009},{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858916013},{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858917020},{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858919025},{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858920052},{""box"":{""left"":2513,""right"":6728,""top"":2784,""bottom"":7163},""time"":1730858921060}",,,一宮,586,に
406,Face,2024-11-06 11:08:42,2024-11-06 11:08:42,"{""box"":{""left"":5461,""right"":3554,""top"":6148,""bottom"":4554},""time"":1730858922816}","55,64",female,,,
407,Face,2024-11-06 11:08:43,2024-11-06 11:08:45,"{""box"":{""left"":2103,""right"":4684,""top"":2468,""bottom"":5237},""time"":1730858923877},{""box"":{""left"":2977,""right"":4347,""top"":3351,""bottom"":4876},""time"":1730858925114}","25,34",male,,,
408,Face,2024-11-06 11:09:03,2024-11-06 11:09:03,"{""box"":{""left"":4460,""right"":3240,""top"":5147,""bottom"":4305},""time"":1730858943118}","65,",male,,,
411,LicensePlate,2024-11-06 11:09:48,2024-11-06 11:09:51,"{""box"":{""left"":2913,""right"":6732,""top"":3160,""bottom"":7069},""time"":1730858988292},{""box"":{""left"":2913,""right"":6732,""top"":3160,""bottom"":7069},""time"":1730858990031}",,,神戸,532,と
412,LicensePlate,2024-11-06 11:09:54,2024-11-06 11:10:01,"{""box"":{""left"":5998,""right"":7443,""top"":6489,""bottom"":8475},""time"":1730858994469},{""box"":{""left"":5998,""right"":7443,""top"":6489,""bottom"":8475},""time"":1730859000016},{""box"":{""left"":5998,""right"":7443,""top"":6489,""bottom"":8475},""time"":1730859001023}",,,神戸,532,と
413,Face,2024-11-06 11:09:57,2024-11-06 11:09:58,"{""box"":{""left"":1934,""right"":4938,""top"":2300,""bottom"":5419},""time"":1730858997515}","55,64",male,,,
414,Face,2024-11-06 11:10:02,2024-11-06 11:10:02,"{""box"":{""left"":1909,""right"":4677,""top"":2323,""bottom"":5244},""time"":1730859002297}","65,",male,,,
415,Face,2024-11-06 11:10:04,2024-11-06 11:10:05,"{""box"":{""left"":1617,""right"":4275,""top"":2117,""bottom"":4958},""time"":1730859004971}","65,",male,,,
416,Face,2024-11-06 11:10:13,2024-11-06 11:10:19,"{""box"":{""left"":858,""right"":3696,""top"":1751,""bottom"":5063},""time"":1730859013848},{""box"":{""left"":1004,""right"":3237,""top"":1902,""bottom"":4692},""time"":1730859015529},{""box"":{""left"":987,""right"":3139,""top"":1873,""bottom"":4423},""time"":1730859016589},{""box"":{""left"":1091,""right"":3601,""top"":1938,""bottom"":4734},""time"":1730859018937}","55,64",male,,,
417,LicensePlate,2024-11-06 11:12:25,2024-11-06 11:12:31,"{""box"":{""left"":2366,""right"":6679,""top"":2658,""bottom"":7027},""time"":1730859145818},{""box"":{""left"":2366,""right"":6679,""top"":2658,""bottom"":7027},""time"":1730859147019},{""box"":{""left"":2366,""right"":6679,""top"":2658,""bottom"":7027},""time"":1730859149023},{""box"":{""left"":2366,""right"":6679,""top"":2658,""bottom"":7027},""time"":1730859151060}",,,神戸,303,や
418,LicensePlate,2024-11-06 11:12:32,2024-11-06 11:12:36,"{""box"":{""left"":6186,""right"":7998,""top"":6797,""bottom"":9360},""time"":1730859152500},{""box"":{""left"":6186,""right"":7998,""top"":6797,""bottom"":9360},""time"":1730859156001}",,,神戸,303,や
