234,LicensePlate,2024-12-02 10:28:59,2024-12-02 10:29:14,"{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102939758},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102941023},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102942021},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102943028},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102944026},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102946031},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102947069},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102948067},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102949003},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102950001},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102951008},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102952013},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102953010},{""box"":{""left"":2577,""right"":6656,""top"":2826,""bottom"":7006},""time"":1733102954018}",,,名古屋,508,な
235,Face,2024-12-02 10:29:17,2024-12-02 10:29:17,"{""box"":{""left"":2164,""right"":4929,""top"":2507,""bottom"":5429},""time"":1733102957190}","55,64",male,,,
236,LicensePlate,2024-12-02 10:29:22,2024-12-02 10:29:25,"{""box"":{""left"":2649,""right"":6793,""top"":3001,""bottom"":7169},""time"":1733102962569},{""box"":{""left"":2649,""right"":6793,""top"":3001,""bottom"":7169},""time"":1733102963005},{""box"":{""left"":2649,""right"":6793,""top"":3001,""bottom"":7169},""time"":1733102964003},{""box"":{""left"":2649,""right"":6793,""top"":3001,""bottom"":7169},""time"":1733102965010}",,,京都,502,せ
237,LicensePlate,2024-12-02 10:29:28,2024-12-02 10:29:35,"{""box"":{""left"":5691,""right"":7523,""top"":6192,""bottom"":8630},""time"":1733102968413},{""box"":{""left"":5691,""right"":7523,""top"":6192,""bottom"":8630},""time"":1733102975038}",,,京都,502,せ
238,Face,2024-12-02 10:29:32,2024-12-02 10:29:32,"{""box"":{""left"":2002,""right"":5140,""top"":2368,""bottom"":5640},""time"":1733102972097}","35,44",male,,,
239,Face,2024-12-02 10:29:35,2024-12-02 10:29:36,"{""box"":{""left"":5475,""right"":5212,""top"":5944,""bottom"":5896},""time"":1733102975970},{""box"":{""left"":5604,""right"":5189,""top"":6079,""bottom"":5881},""time"":1733102976001}","35,44",female,,,
240,Face,2024-12-02 10:29:36,2024-12-02 10:29:37,"{""box"":{""left"":2059,""right"":4913,""top"":2425,""bottom"":5382},""time"":1733102976335},{""box"":{""left"":2565,""right"":4577,""top"":2935,""bottom"":5073},""time"":1733102977178}","45,54",male,,,
241,Face,2024-12-02 10:29:37,2024-12-02 10:29:37,"{""box"":{""left"":3211,""right"":4507,""top"":3534,""bottom"":4976},""time"":1733102977713}","18,24",male,,,
242,Face,2024-12-02 10:30:16,2024-12-02 10:30:17,"{""box"":{""left"":1653,""right"":4835,""top"":2018,""bottom"":5335},""time"":1733103016765}","55,64",male,,,
243,LicensePlate,2024-12-02 10:30:19,2024-12-02 10:30:34,"{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103019605},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103021010},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103022008},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103023006},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103024014},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103025020},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103026018},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103027055},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103028022},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103029001},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103030029},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103031037},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103032003},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103033000},{""box"":{""left"":2452,""right"":6735,""top"":2750,""bottom"":7048},""time"":1733103034008}",,,京都,302,わ
244,LicensePlate,2024-12-02 10:30:56,2024-12-02 10:30:59,"{""box"":{""left"":2631,""right"":6812,""top"":2911,""bottom"":7179},""time"":1733103056930},{""box"":{""left"":2631,""right"":6812,""top"":2911,""bottom"":7179},""time"":1733103058039},{""box"":{""left"":2631,""right"":6812,""top"":2911,""bottom"":7179},""time"":1733103059035}",,,京都,502,わ
245,LicensePlate,2024-12-02 10:31:01,2024-12-02 10:31:04,"{""box"":{""left"":6057,""right"":7528,""top"":6601,""bottom"":8730},""time"":1733103061709},{""box"":{""left"":6057,""right"":7528,""top"":6601,""bottom"":8730},""time"":1733103064017}",,,京都,502,わ
246,Face,2024-12-02 10:31:05,2024-12-02 10:31:05,"{""box"":{""left"":5896,""right"":4721,""top"":6337,""bottom"":5324},""time"":1733103065587}","35,44",male,,,
